0 [0.00e+00, 0.00e+00]
15900 [9.99e-01, 1.08e-02]
16000 [9.99e-01, 1.08e-02]
16100 [9.99e-01, 1.08e-02]
16200 [9.99e-01, 1.08e-02]
16300 [1.00e+00, 1.08e-02]
16400 [9.99e-01, 1.08e-02]
16500 [9.99e-01, 1.08e-02]
16600 [9.99e-01, 1.08e-02]
16700 [1.00e+00, 1.08e-02]
16800 [1.00e+00, 1.08e-02]
16900 [1.00e+00, 1.08e-02]
17000 [1.00e+00, 1.07e-02]
17100 [1.00e+00, 1.08e-02]
17200 [1.00e+00, 1.07e-02]
17300 [1.00e+00, 1.07e-02]
17400 [1.00e+00, 1.07e-02]
17500 [1.00e+00, 1.07e-02]
17600 [1.00e+00, 1.07e-02]
17700 [1.00e+00, 1.07e-02]
17800 [1.00e+00, 1.07e-02]
17900 [1.00e+00, 1.07e-02]
18000 [1.00e+00, 1.07e-02]
18100 [1.00e+00, 1.07e-02]
18200 [1.00e+00, 1.07e-02]
18300 [1.00e+00, 1.07e-02]
18400 [1.00e+00, 1.07e-02]
18500 [1.00e+00, 1.07e-02]
18600 [1.00e+00, 1.07e-02]
18700 [1.00e+00, 1.07e-02]
18800 [1.00e+00, 1.06e-02]
18900 [1.00e+00, 1.07e-02]
19000 [1.00e+00, 1.06e-02]
19100 [1.00e+00, 1.06e-02]
19200 [1.00e+00, 1.06e-02]
19300 [1.00e+00, 1.06e-02]
19400 [1.00e+00, 1.06e-02]
19500 [1.00e+00, 1.06e-02]
19600 [1.00e+00, 1.06e-02]
19700 [1.00e+00, 1.06e-02]
19800 [1.00e+00, 1.06e-02]
19900 [1.00e+00, 1.06e-02]
20000 [1.00e+00, 1.06e-02]
20100 [1.00e+00, 1.06e-02]
20200 [1.00e+00, 1.06e-02]
20300 [1.00e+00, 1.06e-02]
20400 [1.00e+00, 1.06e-02]
20500 [1.00e+00, 1.06e-02]
20600 [1.00e+00, 1.06e-02]
20700 [1.00e+00, 1.06e-02]
20800 [1.00e+00, 1.06e-02]
20900 [1.00e+00, 1.05e-02]
21000 [1.00e+00, 1.05e-02]
21100 [1.00e+00, 1.05e-02]
21200 [1.00e+00, 1.05e-02]
21300 [1.00e+00, 1.05e-02]
21400 [1.00e+00, 1.05e-02]
