# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 5.293912254273891449e-03 3.587206592783331871e-03 1.896394602954387665e-02 9.533497095108032227e-01 6.593931317329406738e-01 5.293912254273891449e-03 3.587206592783331871e-03 1.896394602954387665e-02 9.533497095108032227e-01 6.593931317329406738e-01
1.000000000000000000e+03 7.167022558860480785e-04 1.051483559422194958e-03 1.177019439637660980e-03 1.810863614082336426e-02 4.968013614416122437e-02 7.167022558860480785e-04 1.051483559422194958e-03 1.177019439637660980e-03 1.810863614082336426e-02 4.968013614416122437e-02
2.000000000000000000e+03 6.287767901085317135e-04 1.019718009047210217e-03 7.882594945840537548e-04 1.408027298748493195e-02 3.705371916294097900e-02 6.287767901085317135e-04 1.019718009047210217e-03 7.882594945840537548e-04 1.408027298748493195e-02 3.705371916294097900e-02
3.000000000000000000e+03 8.996372926048934460e-04 9.897183626890182495e-04 1.290848129428923130e-03 1.128020603209733963e-02 2.498286403715610504e-02 8.996372926048934460e-04 9.897183626890182495e-04 1.290848129428923130e-03 1.128020603209733963e-02 2.498286403715610504e-02
4.000000000000000000e+03 5.944744916632771492e-04 1.105517381802201271e-03 1.201984821818768978e-03 9.200101718306541443e-03 1.842967607080936432e-02 5.944744916632771492e-04 1.105517381802201271e-03 1.201984821818768978e-03 9.200101718306541443e-03 1.842967607080936432e-02
5.000000000000000000e+03 6.075645214878022671e-04 1.287896418944001198e-03 9.578244644217193127e-04 3.439564723521471024e-03 5.659334361553192139e-03 6.075645214878022671e-04 1.287896418944001198e-03 9.578244644217193127e-04 3.439564723521471024e-03 5.659334361553192139e-03
6.000000000000000000e+03 4.342294996604323387e-04 8.187246276065707207e-04 6.764290155842900276e-04 2.057928126305341721e-03 2.876021666452288628e-03 4.342294996604323387e-04 8.187246276065707207e-04 6.764290155842900276e-04 2.057928126305341721e-03 2.876021666452288628e-03
7.000000000000000000e+03 3.601254138629883528e-04 5.988844786770641804e-04 5.003451369702816010e-04 1.522903097793459892e-03 1.948550576344132423e-03 3.601254138629883528e-04 5.988844786770641804e-04 5.003451369702816010e-04 1.522903097793459892e-03 1.948550576344132423e-03
8.000000000000000000e+03 3.712479956448078156e-04 5.425392300821840763e-04 4.752417735289782286e-04 1.519084675237536430e-03 1.805086852982640266e-03 3.712479956448078156e-04 5.425392300821840763e-04 4.752417735289782286e-04 1.519084675237536430e-03 1.805086852982640266e-03
9.000000000000000000e+03 2.470371255185455084e-04 4.184891295153647661e-04 3.175234887748956680e-04 7.981485687196254730e-04 9.986128425225615501e-04 2.470371255185455084e-04 4.184891295153647661e-04 3.175234887748956680e-04 7.981485687196254730e-04 9.986128425225615501e-04
1.000000000000000000e+04 2.254247374366968870e-04 3.563059435691684484e-04 2.768903505057096481e-04 6.511416286230087280e-04 7.923817611299455166e-04 2.254247374366968870e-04 3.563059435691684484e-04 2.768903505057096481e-04 6.511416286230087280e-04 7.923817611299455166e-04
1.000000000000000000e+04 2.254247374366968870e-04 3.563059435691684484e-04 2.768903505057096481e-04 6.511416286230087280e-04 7.923817611299455166e-04 2.254247374366968870e-04 3.563059435691684484e-04 2.768903505057096481e-04 6.511416286230087280e-04 7.923817611299455166e-04
1.100000000000000000e+04 1.049431011779233813e-04 1.538739306852221489e-04 1.190912735182791948e-04 1.986674615181982517e-04 1.680061395745724440e-04 1.049431011779233813e-04 1.538739306852221489e-04 1.190912735182791948e-04 1.986674615181982517e-04 1.680061395745724440e-04
1.200000000000000000e+04 6.350373587338253856e-05 1.008432591333985329e-04 7.275048119481652975e-05 1.041717841872014105e-04 8.725911902729421854e-05 6.350373587338253856e-05 1.008432591333985329e-04 7.275048119481652975e-05 1.041717841872014105e-04 8.725911902729421854e-05
1.300000000000000000e+04 4.213823922327719629e-05 6.867603224236518145e-05 5.052466804045252502e-05 6.670141738140955567e-05 5.778517152066342533e-05 4.213823922327719629e-05 6.867603224236518145e-05 5.052466804045252502e-05 6.670141738140955567e-05 5.778517152066342533e-05
1.400000000000000000e+04 3.263847611378878355e-05 4.810755490325391293e-05 3.932605613954365253e-05 4.578450534609146416e-05 4.039339546579867601e-05 3.263847611378878355e-05 4.810755490325391293e-05 3.932605613954365253e-05 4.578450534609146416e-05 4.039339546579867601e-05
1.500000000000000000e+04 2.723519901337567717e-05 3.595256202970631421e-05 3.030463085451629013e-05 3.337531961733475327e-05 3.093337727477774024e-05 2.723519901337567717e-05 3.595256202970631421e-05 3.030463085451629013e-05 3.337531961733475327e-05 3.093337727477774024e-05
1.600000000000000000e+04 2.172068343497812748e-05 2.862913424905855209e-05 2.533423321438021958e-05 2.439847412460949272e-05 2.346923065488226712e-05 2.172068343497812748e-05 2.862913424905855209e-05 2.533423321438021958e-05 2.439847412460949272e-05 2.346923065488226712e-05
1.700000000000000000e+04 1.692774640105199069e-05 2.250014767923858017e-05 2.156653135898523033e-05 1.921124930959194899e-05 1.875496673164889216e-05 1.692774640105199069e-05 2.250014767923858017e-05 2.156653135898523033e-05 1.921124930959194899e-05 1.875496673164889216e-05
1.800000000000000000e+04 1.449753654014784843e-05 1.806624459277372807e-05 1.785502536222338676e-05 1.590731881151441485e-05 1.542452991998288780e-05 1.449753654014784843e-05 1.806624459277372807e-05 1.785502536222338676e-05 1.590731881151441485e-05 1.542452991998288780e-05
1.900000000000000000e+04 1.238363802258390933e-05 1.506943681306438521e-05 1.486779819970251992e-05 1.319649163633584976e-05 1.311573396378662437e-05 1.238363802258390933e-05 1.506943681306438521e-05 1.486779819970251992e-05 1.319649163633584976e-05 1.311573396378662437e-05
2.000000000000000000e+04 1.111260644393041730e-05 1.277294268220430240e-05 1.279253774555400014e-05 1.101121051760856062e-05 1.165011053672060370e-05 1.111260644393041730e-05 1.277294268220430240e-05 1.279253774555400014e-05 1.101121051760856062e-05 1.165011053672060370e-05
2.100000000000000000e+04 9.845001841313205659e-06 1.096270352718420327e-05 1.109711593016982079e-05 9.482426321483217180e-06 1.033524131344165653e-05 9.845001841313205659e-06 1.096270352718420327e-05 1.109711593016982079e-05 9.482426321483217180e-06 1.033524131344165653e-05
2.200000000000000000e+04 8.675848221173509955e-06 9.889114153338596225e-06 9.676226909505203366e-06 8.197343959182035178e-06 9.140676411334425211e-06 8.675848221173509955e-06 9.889114153338596225e-06 9.676226909505203366e-06 8.197343959182035178e-06 9.140676411334425211e-06
2.300000000000000000e+04 7.702811672061216086e-06 9.073091860045678914e-06 8.609634278400335461e-06 7.088554866641061381e-06 8.371139301743824035e-06 7.702811672061216086e-06 9.073091860045678914e-06 8.609634278400335461e-06 7.088554866641061381e-06 8.371139301743824035e-06
2.400000000000000000e+04 6.774716894142329693e-06 8.274112587969284505e-06 7.579429166071349755e-06 6.349405794026097283e-06 7.743456990283448249e-06 6.774716894142329693e-06 8.274112587969284505e-06 7.579429166071349755e-06 6.349405794026097283e-06 7.743456990283448249e-06
2.500000000000000000e+04 6.058361122995847836e-06 7.532665222242940217e-06 6.765402758901473135e-06 5.712324309570249170e-06 7.179685781011357903e-06 6.058361122995847836e-06 7.532665222242940217e-06 6.765402758901473135e-06 5.712324309570249170e-06 7.179685781011357903e-06
2.600000000000000000e+04 5.651339961332269013e-06 6.842364655312849209e-06 6.179975571285467595e-06 5.223327207204420120e-06 6.660529379587387666e-06 5.651339961332269013e-06 6.842364655312849209e-06 6.179975571285467595e-06 5.223327207204420120e-06 6.660529379587387666e-06
2.631400000000000000e+04 5.512008101504761726e-06 6.623710760322865099e-06 5.986683845549123362e-06 5.082039024273399264e-06 6.521963769046124071e-06 5.512008101504761726e-06 6.623710760322865099e-06 5.986683845549123362e-06 5.082039024273399264e-06 6.521963769046124071e-06
