# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.972506754100322723e-02 1.344321966171264648e-01 2.839044034481048584e-01 1.972506754100322723e-02 1.344321966171264648e-01 2.839044034481048584e-01
1.000000000000000000e+03 3.594392165541648865e-02 9.944788325810804963e-05 4.834946617484092712e-02 3.594392165541648865e-02 9.944788325810804963e-05 4.834946617484092712e-02
2.000000000000000000e+03 1.663533970713615417e-02 1.267528859898447990e-04 1.962061785161495209e-02 1.663533970713615417e-02 1.267528859898447990e-04 1.962061785161495209e-02
3.000000000000000000e+03 5.797386635094881058e-03 5.729481563321314752e-05 4.335918463766574860e-03 5.797386635094881058e-03 5.729481563321314752e-05 4.335918463766574860e-03
4.000000000000000000e+03 3.437265288084745407e-03 2.700030563573818654e-05 2.904258435592055321e-03 3.437265288084745407e-03 2.700030563573818654e-05 2.904258435592055321e-03
5.000000000000000000e+03 2.667602384462952614e-03 2.139459866157267243e-05 2.220406197011470795e-03 2.667602384462952614e-03 2.139459866157267243e-05 2.220406197011470795e-03
6.000000000000000000e+03 2.158274408429861069e-03 1.857595816545654088e-05 1.788220019079744816e-03 2.158274408429861069e-03 1.857595816545654088e-05 1.788220019079744816e-03
7.000000000000000000e+03 1.803071354515850544e-03 1.667262222326826304e-05 1.476542325690388680e-03 1.803071354515850544e-03 1.667262222326826304e-05 1.476542325690388680e-03
8.000000000000000000e+03 1.540365978144109249e-03 1.536319723527412862e-05 1.247692969627678394e-03 1.540365978144109249e-03 1.536319723527412862e-05 1.247692969627678394e-03
9.000000000000000000e+03 1.336532877758145332e-03 1.416193026670953259e-05 1.062496565282344818e-03 1.336532877758145332e-03 1.416193026670953259e-05 1.062496565282344818e-03
1.000000000000000000e+04 1.176329446025192738e-03 1.324285312875872478e-05 9.187969262711703777e-04 1.176329446025192738e-03 1.324285312875872478e-05 9.187969262711703777e-04
1.100000000000000000e+04 1.049029524438083172e-03 1.169168263004394248e-05 8.134561940096318722e-04 1.049029524438083172e-03 1.169168263004394248e-05 8.134561940096318722e-04
1.200000000000000000e+04 9.623790974728763103e-04 1.109302593249594793e-05 7.273431401699781418e-04 9.623790974728763103e-04 1.109302593249594793e-05 7.273431401699781418e-04
1.300000000000000000e+04 8.569240453653037548e-04 9.684782526164781302e-06 6.568868993781507015e-04 8.569240453653037548e-04 9.684782526164781302e-06 6.568868993781507015e-04
1.400000000000000000e+04 7.786091882735490799e-04 8.568658813601359725e-06 5.970527417957782745e-04 7.786091882735490799e-04 8.568658813601359725e-06 5.970527417957782745e-04
1.500000000000000000e+04 7.269618217833340168e-04 6.721285444655222818e-06 5.401826347224414349e-04 7.269618217833340168e-04 6.721285444655222818e-06 5.401826347224414349e-04
1.500000000000000000e+04 7.269618217833340168e-04 6.721285444655222818e-06 5.401826347224414349e-04 7.269618217833340168e-04 6.721285444655222818e-06 5.401826347224414349e-04
1.600000000000000000e+04 1.442476786905899644e-04 8.836374263410107233e-07 6.668600690318271518e-05 1.442476786905899644e-04 8.836374263410107233e-07 6.668600690318271518e-05
1.700000000000000000e+04 6.994797877268865705e-05 3.897135343322588596e-07 3.168676994391717017e-05 6.994797877268865705e-05 3.897135343322588596e-07 3.168676994391717017e-05
1.800000000000000000e+04 3.960596950491890311e-05 2.799421565669035772e-07 1.073911516868975013e-05 3.960596950491890311e-05 2.799421565669035772e-07 1.073911516868975013e-05
1.900000000000000000e+04 2.350973954889923334e-05 1.161777305469513522e-07 6.036684226273791865e-06 2.350973954889923334e-05 1.161777305469513522e-07 6.036684226273791865e-06
2.000000000000000000e+04 1.782078288670163602e-05 1.253052204219784471e-07 2.657795903360238299e-06 1.782078288670163602e-05 1.253052204219784471e-07 2.657795903360238299e-06
2.057100000000000000e+04 1.418229294358752668e-05 1.028602838459846680e-07 2.372738208578084596e-06 1.418229294358752668e-05 1.028602838459846680e-07 2.372738208578084596e-06
