# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.665448725223541260e-02 1.359999537467956543e+00 3.515928238630294800e-02 1.359999537467956543e+00
1.000000000000000000e+03 8.144150342559441924e-05 2.345938264625146985e-04 6.007999400026164949e-05 2.345938264625146985e-04
2.000000000000000000e+03 3.314978675916790962e-05 1.338363945251330733e-04 2.158023016818333417e-05 1.338363945251330733e-04
3.000000000000000000e+03 1.797953154891729355e-05 9.270128066418692470e-05 1.100949884857982397e-05 9.270128066418692470e-05
4.000000000000000000e+03 1.239314406120683998e-05 6.593751459149643779e-05 8.394218639296013862e-06 6.593751459149643779e-05
5.000000000000000000e+03 7.958530659379903227e-06 4.862697096541523933e-05 4.194774192001204938e-06 4.862697096541523933e-05
6.000000000000000000e+03 7.170429398684063926e-06 3.795597513089887798e-05 3.641031071310862899e-06 3.795597513089887798e-05
7.000000000000000000e+03 1.465262175770476460e-05 3.207617191947065294e-05 1.389429235132411122e-05 3.207617191947065294e-05
8.000000000000000000e+03 5.373501153371762484e-06 2.282027890032622963e-05 2.811810873026843183e-06 2.282027890032622963e-05
9.000000000000000000e+03 3.861535333271604031e-06 1.727851486066356301e-05 1.974460928977350704e-06 1.727851486066356301e-05
1.000000000000000000e+04 8.981428436527494341e-06 1.385130508424481377e-05 8.550322490918915719e-06 1.385130508424481377e-05
1.100000000000000000e+04 2.460325958963949233e-06 6.880683940835297108e-06 1.407758759341959376e-06 6.880683940835297108e-06
1.200000000000000000e+04 1.724568960526084993e-06 3.864857717417180538e-06 1.226859353664622176e-06 3.864857717417180538e-06
1.300000000000000000e+04 1.316923203376063611e-06 2.332771600777050480e-06 1.202839712277636863e-06 2.332771600777050480e-06
1.400000000000000000e+04 7.451586725437664427e-07 1.045116846398741473e-06 4.949632170792028774e-07 1.045116846398741473e-06
1.500000000000000000e+04 5.590860041593259666e-07 5.207336926105199382e-07 5.218228693593118805e-07 5.207336926105199382e-07
1.600000000000000000e+04 4.855846214013581630e-07 4.179236441359535092e-07 3.246970834425155772e-07 4.179236441359535092e-07
1.700000000000000000e+04 4.177685468675917946e-07 3.648445670023647835e-07 2.715027562771865632e-07 3.648445670023647835e-07
1.800000000000000000e+04 1.467812921873701271e-06 8.115566174637933727e-07 1.507225420027680229e-06 8.115566174637933727e-07
1.900000000000000000e+04 1.657482471273397096e-06 1.058169232237560209e-06 1.249995534635672811e-06 1.058169232237560209e-06
2.000000000000000000e+04 6.331496842904016376e-05 2.566461444075684994e-05 6.554984429385513067e-05 2.566461444075684994e-05
2.100000000000000000e+04 3.062565156142227352e-06 1.860339466475124937e-06 2.936388000307488255e-06 1.860339466475124937e-06
2.200000000000000000e+04 2.707278781599598005e-06 1.145085434473003261e-06 3.055839897569967434e-06 1.145085434473003261e-06
2.300000000000000000e+04 2.659821802808437496e-07 3.173373102072218899e-07 2.141495798468895373e-07 3.173373102072218899e-07
2.400000000000000000e+04 2.633567817156290403e-07 2.987650589147961000e-07 1.453360169989537098e-07 2.987650589147961000e-07
2.500000000000000000e+04 2.540764398872852325e-07 3.203748804025963182e-07 1.482336386970928288e-07 3.203748804025963182e-07
2.600000000000000000e+04 2.489140058514749398e-07 2.868722503990284167e-07 1.375369009792848374e-07 2.868722503990284167e-07
2.700000000000000000e+04 2.344444851587468293e-07 3.653648832369071897e-07 1.415552191019742168e-07 3.653648832369071897e-07
2.800000000000000000e+04 7.768000614305492491e-06 3.579361873562447727e-06 6.397680863301502541e-06 3.579361873562447727e-06
2.900000000000000000e+04 8.258887646661605686e-06 4.077341145602986217e-06 7.288171673280885443e-06 4.077341145602986217e-06
3.000000000000000000e+04 2.247789012699286104e-07 2.834625831837911392e-07 1.244354024265703629e-07 2.834625831837911392e-07
3.000000000000000000e+04 2.247789012699286104e-07 2.834625831837911392e-07 1.244354024265703629e-07 2.834625831837911392e-07
3.001100000000000000e+04 2.107505991943980916e-07 2.812935235851909965e-07 1.233826765201229136e-07 2.812935235851909965e-07
